,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,Momentum_6m,Volatility,RSI,MACD,SMA_50,SMA_200,Volume_Price_Ratio,Return_6m
CMG,44.833332,18.5,0.45673,0.14156,124.212,1.274,67448496128,-0.13043858487328208,0.31061635749906386,33.70164993473021,0.15450748552349003,54.22830009460449,57.46845010757446,114400.04159196712,-0.13043858487328208
CB,12.810132,1.8200425,0.14597,0.0301,30.289,0.674,116520722432,0.0037642976999692213,0.19136277131299848,55.02660146500822,-0.4081823877476616,277.49339965820315,276.124652633667,1631.5244198863486,0.0037642976999692213
CHD,44.35654,5.927544,0.14247,0.083380006,55.162,0.565,25872314368,0.022170560819247287,0.17801226772610493,30.08275653041929,-0.6861058029877158,107.29984939575195,104.62019485473633,3592.40903686088,0.022170560819247287
CI,26.066889,2.1062782,0.086260006,0.03925,77.521,0.533,85580668928,-0.1055411891413256,0.2579264405167596,54.92912035887486,-0.5821976159404381,301.01673767089846,320.23696029663085,1127.2467604258559,-0.1055411891413256
CINF,10.017906,1.6325845,0.17608,0.052529998,6.279,0.674,22773944320,0.09312843434945739,0.22825519047300347,57.82439696047059,0.3227931363384384,139.42321075439452,134.98452507019044,1434.6211354884108,0.09312843434945739
CTAS,46.555557,18.114662,0.41325,0.15269,66.308,1.407,77779075072,-0.052443182376539,0.23331719087781805,34.061469294420874,-0.5409287267567553,199.98281280517577,197.8009140777588,5163.064084458037,-0.052443182376539
CSCO,26.725878,5.322764,0.20019,0.065560006,71.21,0.776,242417106944,0.18951492945491966,0.1882490323225874,34.087336290108,-0.15482596160184686,61.889499740600584,54.352533950805665,171456.1871591164,0.18951492945491966
CLX,38.75613,-427.13214,2.7610598,0.11265001,2555.372,0.443,17521930240,-0.11566521255786855,0.2101293567700459,28.45688914050868,-0.44681675828894285,152.13761474609376,151.6834159088135,5222.413588866958,-0.11566521255786855
CME,27.035505,3.5530536,0.13249,0.01842,14.428,0.547,94313570304,0.27056726770699346,0.16639986704937568,62.282405894405024,-0.2666605413916896,246.54346588134766,218.63198852539062,4082.674338438532,0.27056726770699346
CMS,21.671772,2.693301,0.11225,0.02981,189.643,0.349,21586233344,0.049353979454830554,0.1630798732551225,48.936395555095,-0.21317698817543462,69.73596008300781,66.46605573654175,16812.47665939358,0.049353979454830554
KO,27.985773,11.915023,0.39549,0.09017,176.919,0.575,296279277568,-0.02465126646219251,0.15087818062974565,44.72421823241757,-0.38705696890919117,66.71624664306641,65.54957162857056,78729.0570644163,-0.02465126646219251
CTSH,17.523281,2.7151544,0.16211,0.09838,10.432,1.118,39089500160,0.05277488762263971,0.20864796115352052,33.16196620610832,-0.4091138884406542,82.2921044921875,76.65669174194336,35690.523606339855,0.05277488762263971
CL,25.539885,343.4674,4.06262,0.16377,1564.706,0.392,72750145536,-0.12086287496296388,0.18382356572346747,44.31848461623047,-0.3709014724387205,89.37810256958008,95.1099514389038,26208.47886641891,-0.12086287496296388
CMCSA,8.891909,1.6296648,0.18707001,0.054840002,122.184,1.006,139188797440,-0.06756287217090207,0.26342881187999273,58.54073336867531,0.13426132575968694,35.86245002746582,38.66024377822876,394595.39558573853,-0.06756287217090207
CAG,24.70874,1.3803016,0.055159997,0.05468,96.17,0.173,12147793920,-0.19161608081264359,0.2371420765785285,50.561810595285635,-0.08039489886436867,25.559522323608398,27.860712928771974,90883.7300849201,-0.19161608081264359
COP,13.016645,2.0017328,0.16209,0.08403,39.12,1.129,129350156288,-0.060697827388163206,0.24359967112102793,84.91805903151692,0.9491581932413652,98.8802116394043,104.621655960083,28055.68460807608,-0.060697827388163206
ED,20.164436,1.6643257,0.08442,0.029979998,126.714,0.285,37234974720,0.03843668954612256,0.18459464771961662,63.163156244737614,-0.16577568740545967,97.93780868530274,96.27625991821289,11012.251186061229,0.03843668954612256
STZ,47.802666,4.143494,0.08326,0.09056,150.148,0.892,32402319360,-0.2700706475460688,0.2765592334455993,57.09893772770364,-0.0009436093938487988,177.17963073730468,224.79899116516114,2630.4697894098076,-0.2700706475460688
CEG,19.015139,5.374905,0.30115,0.05151,66.438,0.884,70836256768,-0.11024985966516121,0.6420635248134603,48.4845958757264,3.533155999114541,273.27646606445313,235.9916120147705,7460.0646968887295,-0.11024985966516121
COO,40.635265,2.0688932,0.05251,0.03797,31.251,1.023,16819382272,-0.2387093900799916,0.26059257058396335,35.503299634395916,0.4348024775523154,89.78649993896484,96.29487510681152,7691.921969110362,-0.2387093900799916
CPRT,37.17114,6.445362,0.19184999,0.12133,1.434,1.304,53507059712,0.07669128693902949,0.22717441414161563,56.23798603768906,0.34242310181226787,56.30990028381348,54.937675113677976,25911.186124240598,0.07669128693902949
GLW,84.58621,3.9207227,0.051620003,0.03083,73.089,1.019,42033483776,0.11544613864530828,0.2973995611521365,60.930736422219205,0.46471233587355376,49.65613006591797,45.13039735794067,34155.46174265412,0.11544613864530828
CPAY,25.611748,8.035149,0.31228,0.06565,257.164,1.257,25117151232,0.16382936261759995,0.2596022216144334,50.77737986197639,2.7422124119949878,363.8374005126953,328.66610092163086,270.20752276975395,0.16382936261759995
CTVA,50.901638,1.7897284,0.035,0.02911,13.229,0.79,42415230976,0.0843802906292348,0.24098896805987044,56.21692727899336,0.23270974490902352,62.290365066528324,57.62718835830688,16533.414254879033,0.0843802906292348
CSGP,235.41176,4.3391523,0.01863,0.00032000002,14.928,0.931,33757911040,0.034509474914853344,0.2926776549653091,55.953024445422955,0.15835888638334283,76.39060028076172,75.63924991607666,7041.691573627421,0.034509474914853344
COST,54.12318,16.084558,0.32894,0.087349996,31.431,0.805,411351842816,0.024705842512565246,0.20062645552252642,25.687328472368833,-2.7729322770173717,983.9439514160156,914.9992364501953,974.7964096084173,0.024705842512565246
CTRA,19.539999,1.6417408,0.08565,0.04121,28.957,0.242,22395654144,0.2596449701426726,0.251424288808889,77.31002693404348,0.298013439959678,27.78513874053955,25.455523653030397,74984.48236300983,0.2596449701426726
CSX,16.544693,4.50076,0.28336,0.07967,153.394,1.245,56109170688,-0.14590239358509904,0.22904393805679463,36.963036696541465,-0.006365382277146003,31.809779777526856,33.17691822052002,126873.07205939361,-0.14590239358509904
CMI,11.647363,4.4203672,0.38356,0.07453,67.978,1.005,45428629504,0.08244869730872306,0.2536647198340287,38.45821350297126,0.24658395365954533,353.52055725097654,325.8103900146484,754.6884322890966,0.08244869730872306
CVS,18.056011,1.1020044,0.0602,0.01993,109.494,0.531,83319963648,0.17667652155615277,0.40867551525582163,50.62472064978009,-0.2899571608088256,60.80565040588379,57.105140380859375,68850.01230285343,0.17667652155615277
DHR,40.070755,3.0825446,0.075679995,0.03976,34.603,0.849,151786536960,-0.2193422537955676,0.24291704619974785,53.032583677261385,1.097546625109716,217.06129943847657,244.90081008911133,5022.097704532078,-0.2193422537955676
DRI,23.234797,10.976485,0.48222,0.07198,355.524,1.272,24170354688,0.2326574693397112,0.2915508723432905,61.54302774659628,1.8057123385241254,192.90490020751952,166.2780433654785,2890.255707356648,0.2326574693397112
DVA,14.082089,100.372345,0.5174,0.071490005,576.988,0.989,12076801024,-0.0795121541837367,0.3076235672692568,65.273133446711,1.4074272207970062,158.11400054931642,152.8919007873535,1620.6544059296607,-0.0795121541837367
DAY,545.0,3.7435994,0.00732,0.00698,48.419,1.332,9487807488,0.01765406413548032,0.3650836992851815,59.18919615540256,0.9766253048071851,64.03339965820312,63.02064985275268,13522.184982208366,0.01765406413548032
DECK,20.07026,7.131976,0.39797002,0.19806999,9.77,1.099,18764244992,-0.17977309927951746,0.4370092504237052,35.634223697834,2.2289163980478417,159.86365661621093,166.33099723815917,8389.869218733858,-0.17977309927951746
DE,21.248226,5.787834,0.27745,0.0496,289.674,1.024,130105016320,0.1897162654571518,0.2573301402657844,56.05348238635196,-0.6884214185983193,473.6091973876953,414.5502810668945,731.7152259647963,0.1897162654571518
DAL,9.118198,2.0407305,0.26191,0.05046,156.091,1.343,31393751040,0.04095029931758343,0.3676168513454049,31.423377613756074,0.32172492555834076,60.05217666625977,53.462968006134034,94145.45563075236,0.04095029931758343
DVN,8.089912,1.6567117,0.21857001,0.093100004,62.949,1.954,23925155840,-0.08323273422591149,0.2842626828563546,76.65104251227493,0.2852292083317773,35.27634246826172,39.14614490509033,82285.60721667523,-0.08323273422591149
DXCM,51.436623,13.571163,0.27628002,0.05883,123.362,1.288,28541986816,0.037058080349884115,0.5509395054489377,33.79360150813673,0.19385950794834894,82.82879959106445,82.25824993133546,22438.239039665645,0.037058080349884115
FANG,10.3713,1.2427901,0.1292,0.06336,32.861,1.831,46649204736,-0.09882353643803454,0.2850282699181467,89.62148029461812,2.3360369621592127,159.34822723388672,176.3625888824463,6624.520767697833,-0.09882353643803454
DLR,94.580246,2.5028176,0.02664,0.0089,79.457,0.676,52520599552,-0.020002385233103825,0.27757181950586984,47.02847532899029,1.212643146934819,161.02010833740235,161.20482070922853,7294.2565663482455,-0.020002385233103825
DFS,9.57586,2.5294993,0.28202,0.030299999,90.673,1.448,42717495296,0.20050399428852517,0.3778327635846979,41.8942444394301,1.0425344795214242,184.92372711181642,156.18676811218262,4454.635442559709,0.20050399428852517
DG,16.17319,2.4517918,0.15890001,0.03917,235.555,0.44,18177519616,-0.024765192966029748,0.45611192177119314,64.88103563688942,0.3860461903525221,75.05909973144531,90.55674816131592,16369.266803200939,-0.024765192966029748
D,24.122726,1.7217103,0.06489,0.02706,141.186,0.584,45218291712,-0.062439127878562206,0.22062245804439862,44.4324390308277,-0.17108701961675374,54.70317253112793,54.01218082427979,40578.89603134909,-0.062439127878562206
DASH,661.6333,10.675523,0.016,0.00274,6.863,1.703,83384860672,0.420626995125968,0.33707629916990356,52.38228640993005,1.2880379835077564,189.91220092773438,153.01159980773926,11684.74450004424,0.420626995125968
DOV,18.3999,3.6633515,0.23216,0.06764,45.486,1.241,25446246400,-0.013281476439027995,0.2245253947057686,44.75480085020232,0.5668869409363158,193.74776641845702,188.5239286804199,1688.0234955189765,-0.013281476439027995
DOW,22.579618,1.437201,0.06499,0.024330001,98.997,1.159,25019332608,-0.2906028323046457,0.23545886302202398,31.537284531878072,-0.06347393037911891,38.11069183349609,45.54459697723389,117137.82540566803,-0.2906028323046457
DHI,9.218683,1.6588136,0.19167,0.10932,20.28,1.806,41791180800,-0.31754352991663237,0.3331809619742877,51.85030682475712,0.533825042634027,133.92521911621094,158.05042640686034,13269.407898748923,-0.31754352991663237
DTE,19.835672,2.3780327,0.123380005,0.028299998,198.573,0.601,27867074560,0.0915957189390415,0.18193219197164043,61.746385867673524,-0.04000499251182843,126.87110702514649,120.52250049591065,3679.103149212728,0.0915957189390415
DUK,20.316343,1.8249847,0.09077,0.027309999,166.689,0.465,89823739904,0.012133709207003296,0.16962381450684666,51.08886010967635,-0.3931217593323213,113.92518280029297,110.07242156982421,20923.650795215894,0.012133709207003296
DD,43.321358,1.3726469,0.03207,0.03112,31.846,1.28,32055496704,-0.07108415494851816,0.22572533371523906,39.29301512851274,-0.1151917561724709,78.05464553833008,80.01219032287598,6571.007679262727,-0.07108415494851816
EMN,11.718383,1.7904025,0.15955,0.057919998,89.2,1.451,10377544704,-0.1420572345344373,0.2434626022548805,29.254069014491634,-0.3956220917662445,94.90757827758789,97.66947547912598,6336.137265272817,-0.1420572345344373
ETN,31.448475,6.35586,0.20201999,0.07605,53.883,1.084,117168316416,-0.09281139240693814,0.3376586877476669,56.75176761393459,3.154301833318873,310.30370239257815,322.8989859008789,7117.455197248189,-0.09281139240693814
EBAY,16.898733,6.0953336,0.34291,0.06874,152.443,1.442,31105499136,0.07358659499079168,0.27741690338628383,51.23832965027846,0.019878584083212802,66.6793824005127,61.19757654190064,18260.689138576778,0.07358659499079168
ECL,34.02439,10.704238,0.25287,0.07545,103.915,1.144,71060545536,0.0038584530721006427,0.1835625989019456,24.29777393479698,-1.44291566255553,253.94414764404297,246.461509475708,1334.8745195243828,0.0038584530721006427
EIX,17.323263,1.5850288,0.07197,0.02892,212.858,0.88,22077276160,-0.3154508536975801,0.2784565704992886,60.42677999514561,0.3851392229620537,55.323800048828126,73.62858306884766,26513.5506793574,-0.3154508536975801
EW,30.335472,4.178784,0.16636999,0.082559995,6.956,1.123,41732083712,0.06217265697224805,0.4031939395329259,41.0893590217465,0.19087674714172798,71.34569946289062,72.81587463378906,34106.20524312495,0.06217265697224805
EA,36.704834,5.0901585,0.14038,0.07121,30.747,0.783,37594144768,0.03636600629938491,0.2671010735544925,73.74301437864109,0.7276656430915467,132.99273559570312,143.9623208618164,7078.980935875216,0.03636600629938491
ELV,16.446651,2.3254468,0.14774,0.05091,82.914,0.865,96022118400,-0.2111729577030641,0.2592182463884832,65.79384090673824,0.7222232681808052,400.61158569335936,455.90323684692385,968.8409946410887,-0.2111729577030641
EMR,32.50986,3.1761892,0.07704,0.04448,31.298,1.351,65079705600,0.10664423874543116,0.2619771181119752,49.07687247802412,0.5886022427441575,121.0165998840332,115.02262435913086,5656.1561328007765,0.10664423874543116
ENPH,84.433334,10.069168,0.11302,0.01705,159.81,2.12,8388726272,-0.44886858205413704,0.6159866201458247,60.78431234513516,0.5188153254627559,62.556500091552735,88.3091750907898,22913.777852636,-0.44886858205413704
ETR,33.985714,2.371344,0.069520004,0.028369999,190.276,0.668,35868229632,0.31909836010589565,0.2600276785358212,45.1206612028974,-0.15107404794994073,82.72008697509766,68.19704551696778,14463.267985680397,0.31909836010589565
EOG,11.359111,2.4260087,0.22294001,0.1112,19.734,1.26,70786203648,0.02852606732272478,0.2306203365954189,64.50195130601156,0.5961851133622942,128.84356475830077,125.68218307495117,9897.378440712728,0.02852606732272478
EPAM,22.773249,2.8012912,0.12798999,0.08299,4.496,1.608,10169885696,-0.09253804937837085,0.4517388515906135,29.218511905803652,0.367610144973483,223.3970004272461,212.40545028686523,922.7219111579498,-0.09253804937837085
EQT,120.98001,1.5775886,0.0124,0.00661,38.82,1.119,32525287424,0.5743110987561169,0.34396558180420483,64.91592540394056,0.6070535840818213,51.2234001159668,41.246377868652345,30984.165268367142,0.5743110987561169
EFX,50.6853,6.3282924,0.12642999,0.05599,105.039,1.647,30362314752,-0.17889213397372494,0.29252481685754567,49.88491250700439,1.0100943274111573,252.21105346679687,264.94779602050784,3521.9354135798176,-0.17889213397372494
EQIX,99.216545,6.0791574,0.062459998,0.02971,139.913,0.734,82277171200,-0.026734948437307837,0.2551242816608079,33.88473030354771,0.3906570754678391,897.6837854003907,863.317008972168,236.35761052231422,-0.026734948437307837
EQR,26.272058,2.4590502,0.09247,0.026659999,72.742,0.933,27967227904,-0.04971434832763655,0.19468022920955538,39.486194843800476,0.03283738723832519,70.8134001159668,70.98010137557984,8831.304339284923,-0.04971434832763655
ERIE,36.30087,10.984344,0.32893002,0.16552,0.378,0.384,21828941824,-0.19414765800635314,0.2861742475915906,29.428918044381717,-2.9749721650225975,407.9235986328125,429.9614894104004,132.6067195254972,-0.19414765800635314
ESS,26.370884,3.5328946,0.14262,0.02846,115.698,0.92,20994885632,0.010838378001015059,0.20862594511947224,45.61995186556908,0.0927383990208146,293.15000122070313,287.96959732055666,366.32819833376755,0.010838378001015059
EG,11.426998,1.1254393,0.10141,0.01856,26.76,0.609,15591518208,-0.05758350060989348,0.24014632206145653,55.11529834264477,0.5839659953051153,349.5535968017578,368.0531204223633,271.85736378710084,-0.05758350060989348
EVRG,17.522429,1.5342144,0.090050004,0.02868,142.309,0.602,15274898432,0.09966989027926054,0.15249704793870814,50.851580189880764,-0.09460427290427165,65.30431449890136,59.84307468414307,12123.805987069665,0.09966989027926054
ES,26.123348,1.4455305,0.05549,0.03061,192.423,0.617,21767960576,-0.08528831960405259,0.2250155990867608,52.38539937815788,-0.20355468325904924,59.459649810791014,60.511737213134765,10116.610585469838,-0.08528831960405259
EXC,17.49796,1.6004031,0.0934,0.02545,174.232,0.58,43278979072,0.08529661916795339,0.18116218487103453,46.054733883198914,-0.20291042541049642,41.84061408996582,38.31877395629883,74195.66315021036,0.08529661916795339
EXPE,19.553074,14.47597,0.43832,0.04724,235.584,1.832,22549975040,0.21749016856094494,0.3909697406102474,37.194006279493884,0.49475649245947917,182.67014068603515,158.46839740753174,4229.777142857143,0.21749016856094494
EXPD,20.533216,7.291408,0.35157,0.14029,25.561,0.995,16211858432,-0.040760616765808555,0.19974897345263767,48.7654339157023,-0.3143126881061259,115.19380004882812,119.0785009765625,2151.38362337592,-0.040760616765808555
EXR,36.032257,2.2071073,0.05947,0.032899998,88.633,0.918,32142524416,-0.17756318532382587,0.24665145201631788,32.53511423120561,-0.4796097561754622,151.03165252685548,158.05848442077638,2263.046517500215,-0.17756318532382587
XOM,14.839285,1.9204357,0.14515,0.062459998,17.852,0.802,504815550464,0.02667788260137338,0.2022328011848206,79.94501809255203,0.6586596104765763,109.93785751342773,112.5570418548584,50914.43344038357,0.02667788260137338
FFIV,27.388447,4.940175,0.19513,0.07897,8.478,1.103,15853230080,0.2542419453410478,0.29261561118169366,42.720276200206165,0.6354358390350185,283.3672003173828,230.54325035095215,825.7291109472291,0.2542419453410478
FDS,30.946415,8.058605,0.28119,0.10808,80.856,0.762,16582411264,-0.059979240323746685,0.19899681271478611,40.63279387199866,0.2709335570019249,453.90904296875,446.585676574707,191.1153905079054,-0.059979240323746685
FAST,38.575,12.230501,0.33039,0.20604,13.423,1.04,44241747968,0.10243473750276766,0.2340946426941939,57.112310417674735,-0.007055064850254644,75.03602172851562,72.1288261795044,12783.408690785047,0.10243473750276766
FRT,28.66959,2.7889183,0.091529995,0.031059999,133.197,1.293,8460636672,-0.11545993349642625,0.1954142467601637,35.91586924737581,0.11300135140520773,104.18560028076172,107.91485435485839,4000.5506149035023,-0.11545993349642625
FIS,52.221832,2.5083718,0.04546,0.026889998,73.51,1.116,39279308800,-0.10909527878364689,0.23370710723423324,69.12168496987286,0.7846874922646346,74.43648406982422,79.22396327972412,11268.842475300537,-0.10909527878364689
FSLR,10.958403,1.7676978,0.17621,0.077470005,9.01,1.517,14102206464,-0.4516236349116779,0.5547161782058695,50.92802953116375,1.0026175716043557,154.4175996398926,201.3944496536255,15619.397061443617,-0.4516236349116779
FE,22.354704,1.759398,0.09149,0.02894,176.866,0.466,21916215296,-0.11803575483587103,0.1916635243948336,46.01180379056182,-0.07611044570590667,39.72920120239258,40.41009887695313,100881.06639599176,-0.11803575483587103
FI,41.29592,4.637864,0.10899,0.043730002,92.502,0.928,124934520832,0.25322338803536026,0.2102841432434219,45.726226866433,0.25282660982742655,220.56389923095702,191.35322486877442,3726.4774130373817,0.25322338803536026
F,6.9863696,0.9017061,0.13448,0.01164,358.603,1.607,40427585536,-0.018699121574613065,0.36269644560151126,64.25203395056847,0.05658467812319071,9.59841323852539,10.351209774017335,3747805.7279706197,-0.018699121574613065
FTNT,45.18584,52.423,3.38742,0.13209,71.857,0.968,78527627264,0.3300339199030815,0.38504624132850496,41.189760182553904,0.1501017200248156,102.25900009155274,83.53370018005371,15887.220489271893,0.3300339199030815
