,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,DividendYield,52WeekChange,Momentum_6m,Volatility,Return_6m
MMM,20.45667,20.881775,0.91850996,0.05929,350.77,1.017,80740081664,1.91,0.7215544,0.09494563082887941,0.3189292148082154,0.09494563082887941
AOS,18.382921,5.1130185,0.28627002,0.13533,12.132,1.177,9577690112,2.02,-0.24714959,-0.21424616031994925,0.24049153501942933,-0.21424616031994925
ABT,17.108126,4.7425885,0.30906,0.060599998,31.889,0.693,226389475328,1.86,0.113936305,0.16321199508295248,0.19618016293037038,0.16321199508295248
ABBV,84.06875,107.09395,0.62292,0.084910005,2021.968,0.598,356918231040,3.26,0.10543656,0.06089643454125704,0.25173942705036995,0.06089643454125704
ACN,25.48929,6.6281114,0.26965,0.11576,26.706,1.239,193853636608,1.9,-0.102276325,-0.0851553572076249,0.2459273361974131,-0.0851553572076249
AES,5.245696,2.4258146,0.10055,0.02733,351.227,0.931,8850566144,5.58,-0.30340213,-0.3321070554195643,0.4045542114077885,-0.3321070554195643
AFL,11.477206,2.3291082,0.22639999,0.03384,37.796,0.926,60326473728,2.1,0.28628004,0.02333746314305518,0.1939241306622747,0.02333746314305518
A,27.368118,5.6471844,0.20614,0.08392999,58.736,1.111,34019915776,0.83,-0.17600167,-0.15601701676119462,0.26294496082991026,-0.15601701676119462
APD,17.024899,3.918699,0.22396,0.048249997,80.976,0.869,65412390912,2.42,0.21872294,0.006781193773502947,0.2428489278693881,0.006781193773502947
ARE,53.11111,0.92026603,0.02269,0.0141900005,56.93,1.193,16547595264,5.49,-0.25428593,-0.21260152210261096,0.25256586640204803,-0.21260152210261096
ALLE,19.05572,7.4698243,0.42391,0.11255,143.313,1.116,11214301184,1.56,-0.032143116,-0.09649603710652443,0.21283701395602558,-0.09649603710652443
LNT,23.486988,2.3154733,0.10014,0.02645,151.585,0.536,16217800704,3.23,0.24722219,0.0698528345458509,0.17801614117163575,0.0698528345458509
ALL,12.2813425,2.8442519,0.23586,0.03618,38.943,0.464,55300325376,1.91,0.2096411,0.09808920041216673,0.2347806674152922,0.09808920041216673
GOOGL,20.294153,6.1289535,0.32908002,0.1674,8.655,1.025,2000288612352,0.48,0.093619585,0.007795737430546623,0.2904133625283563,0.007795737430546623
GOOG,20.550995,6.206521,0.32908002,0.1674,8.655,1.025,2000389931008,0.48,0.09772754,0.012013587330354625,0.28666228113757003,0.012013587330354625
AMCR,17.618181,3.6984732,0.20721,0.05138,197.441,0.811,14005344256,5.31,0.009463668,-0.11218250590694301,0.22685615016569927,-0.11218250590694301
AEE,22.366516,2.2026157,0.100080006,0.026630001,153.508,0.493,26707822592,2.87,0.33693886,0.17443973651421807,0.17831651780275704,0.17443973651421807
AEP,18.851255,2.0804985,0.113859996,0.02861,170.451,0.492,56170196992,3.58,0.20673633,0.0571837655101628,0.1866344664467995,0.0571837655101628
AXP,19.42903,6.3184566,0.34735,0.038039997,183.33,1.212,190978850816,1.19,0.21217442,0.028319266748824568,0.255349330646479,0.028319266748824568
AIG,20.798525,1.2067343,0.057540003,0.00754,23.008,1.0,50225639424,1.9,0.077011585,0.16492483014731585,0.21482037685975683,0.16492483014731585
AMT,30.782925,29.396076,0.31768,0.04532,455.544,0.861,99432783872,3.24,0.06290805,-0.08588417737128151,0.2631833976922068,-0.08588417737128151
AWK,26.456402,2.6902616,0.10443,0.03457,136.702,0.681,27799445504,2.17,0.15481544,-0.0050710806172254985,0.22032359914005983,-0.0050710806172254985
AMP,15.070846,9.156611,0.68314004,0.02264,70.39,1.326,47695253504,1.17,0.15206182,0.08037143685060233,0.24227118655780586,0.08037143685060233
AME,29.652615,4.201472,0.1497,0.07501,24.075,1.147,40574554112,0.7,-0.032804787,0.03442301935349512,0.22530628726770674,0.03442301935349512
AMGN,40.44768,27.898775,0.67553,0.064,1035.886,0.524,164051664896,3.11,0.07523215,-0.06228398929244727,0.2609047507559495,-0.06228398929244727
APH,35.33073,8.377794,0.26709998,0.10873,73.865,1.258,82153603072,0.98,0.17173815,0.03038518737760132,0.33138821349216396,0.03038518737760132
ADI,66.181526,2.9389055,0.04429,0.02616,21.725,1.072,103068770304,1.88,0.06441176,-0.07800170277111917,0.3440224519245369,-0.07800170277111917
AON,31.860802,14.053921,0.9564,0.06616,278.258,0.923,86024560640,0.68,0.18881094,0.14841582450693624,0.1947051776910031,0.14841582450693624
APA,9.27489,1.4570243,0.22242,0.07467,100.865,3.27,7665003520,4.74,-0.38627106,-0.15183743225505153,0.37213269970711454,-0.15183743225505153
APO,19.383356,5.0697594,0.22670001,0.01844,103.066,1.647,81053802496,1.28,0.2862606,0.14192854333564586,0.35309638823552136,0.14192854333564586
AAPL,35.55644,50.394318,1.3652,0.22518998,145.0,1.178,3359692554240,0.45,0.2918707,-0.014306307617527492,0.24504450256942997,-0.014306307617527492
AMAT,19.27451,6.4318433,0.35186002,0.15558,35.372,1.619,119794425856,1.22,-0.26935947,-0.2471939260620094,0.42807046211286326,-0.2471939260620094
ADM,13.136986,1.0339177,0.07587,0.0233,51.438,0.662,23023480832,4.33,-0.25059706,-0.19407790021529414,0.2425510360145957,-0.19407790021529414
AJG,51.976925,4.1909595,0.09488,0.030280001,67.281,0.755,86400073728,0.77,0.34670448,0.21421892766269957,0.18728627223552352,0.21421892766269957
AIZ,14.625519,2.1051872,0.15332,0.01893,42.013,0.606,10741725184,1.51,0.12786865,0.07969318065852504,0.20710567436912394,0.07969318065852504
T,18.987583,1.9451014,0.10226,0.04123,121.359,0.705,203081482240,4.01,0.57102275,0.34406947419985245,0.21261214323793215,0.34406947419985245
ATO,21.614613,1.8737192,0.09009,0.03504,66.587,0.664,23947292672,2.32,0.26322877,0.11835958809632263,0.15915194661921336,0.11835958809632263
ADP,31.70177,24.360577,0.83716005,0.054569997,86.202,0.777,123696922624,2.04,0.21089935,0.11055388419685919,0.16295756295731723,0.11055388419685919
AVB,28.02237,2.5338488,0.09122,0.02898,69.094,1.013,30296049664,3.27,0.15375078,-0.06034140681626032,0.18241549069874016,-0.06034140681626032
AVY,20.292908,6.120928,0.31751,0.085880004,146.084,0.861,14005409792,1.98,-0.20295632,-0.18073700271129045,0.19322845118243956,-0.18073700271129045
BKR,14.64094,2.5565453,0.18469,0.05748,39.261,1.287,43198586880,2.09,0.3140298,0.2131893927340227,0.2883878629449506,0.2131893927340227
BALL,37.897808,2.5630646,0.08805,0.04004,101.467,0.991,14661117952,1.56,-0.23827195,-0.22123832030506618,0.24171847528903684,-0.22123832030506618
BDX,38.385715,2.601873,0.06835,0.03698,74.422,0.379,65580199936,1.75,-0.07860172,-0.027118888853068346,0.1910550731068074,-0.027118888853068346
BBY,17.478971,5.6320105,0.31633,0.072859995,144.836,1.452,15812589568,5.08,-0.08777279,-0.22636979073592145,0.35654384193476946,-0.22636979073592145
TECH,61.642857,4.589728,0.07825,0.05683,19.01,1.295,9550096384,0.54,-0.15641427,-0.21795591528742475,0.3774048497467691,-0.21795591528742475
BLK,23.011423,3.154543,0.14376001,0.03666,28.816,1.303,150120333312,2.15,0.16137695,0.03803820686310333,0.20424831934205304,0.03803820686310333
BX,39.78591,13.4817,0.28947002,0.12985,68.543,1.541,175517499392,2.69,0.1163888,-0.0732906509472957,0.3098904514177105,-0.0732906509472957
AVGO,80.08372,2.9074144,0.14845,0.069759995,166.032,1.03,809581740032,1.32,0.35256255,-0.009371099654004733,0.584703632083378,-0.009371099654004733
BR,37.431347,12.539354,0.35341,0.08861,173.54,1.063,27945541632,1.48,0.16269648,0.1430530537051764,0.18540843284659866,0.1430530537051764
BRO,35.32659,5.445029,0.16678,0.052849997,63.073,0.856,35034542080,0.49,0.39102125,0.1858962785968894,0.1770311951533793,0.1858962785968894
BF-B,16.421053,4.2433233,0.27985,0.0896,74.889,0.727,16116706304,2.65,-0.33785355,-0.25985574858474936,0.2985661028264718,-0.25985574858474936
BG,9.550689,1.031258,0.10438,0.03886,65.02,0.65,10223097856,3.67,-0.2763363,-0.20012462635684303,0.2535556790762035,-0.20012462635684303
BXP,758.9444,1.9958217,0.01044,0.02421,213.956,1.214,12053852160,5.69,0.055274844,-0.1505665610702729,0.30459228649475273,-0.1505665610702729
CHRW,26.237047,6.9787073,0.29655,0.08492,101.108,0.835,11973439488,2.43,0.33806145,-0.05834777392600721,0.3000016684422144,-0.05834777392600721
CPT,81.28,2.8333063,0.03487,0.020680001,73.492,0.958,13264774144,3.44,0.2419715,-0.019675987484722546,0.20439909100297948,-0.019675987484722546
CPB,22.742775,2.9986281,0.13423,0.064959995,205.496,0.143,11731972096,3.99,-0.11946005,-0.19387189651353443,0.23678989634630734,-0.19387189651353443
CARR,53.89344,4.1014285,0.103590004,0.04147,89.232,1.229,56807206912,1.34,0.1520729,-0.17740366236452498,0.294615056460534,-0.17740366236452498
CAT,15.363883,8.303172,0.55327,0.09675,200.118,1.138,161837334528,1.65,-0.06909913,-0.11620643966019517,0.27116550691234137,-0.11620643966019517
CBOE,30.50208,5.3796477,0.1851,0.09678,37.37,0.661,23026063360,1.16,0.18625152,0.06375153490172969,0.21906152313013963,0.06375153490172969
CDW,20.497488,9.19574,0.49043998,0.07495,271.148,1.004,21617395712,1.49,-0.345805,-0.2675146569283764,0.2892522521382842,-0.2675146569283764
COR,38.594902,233.08812,1.98149,0.02861,2689.426,0.503,52782919680,0.81,0.1168772,0.21461159262074436,0.1836872253030215,0.21461159262074436
CNP,22.572784,2.179213,0.10023,0.029649999,196.803,0.904,23279507456,2.48,0.24745524,0.2600083624407141,0.20207770918147855,0.2600083624407141
CF,11.49184,2.6395516,0.18503,0.07745,42.756,0.979,12893702144,2.61,-0.07895684,-0.07656387135470077,0.3112405282245883,-0.07656387135470077
SCHW,26.695652,3.7302551,0.13303,0.012209999,121.987,0.978,144759160832,1.35,0.10782421,0.2443425362702456,0.27637283507948046,0.2443425362702456
CVX,17.07811,1.9298979,0.11266,0.056160003,19.334,1.062,292558897152,4.07,0.06485355,0.15108158755382362,0.1990168783906518,0.15108158755382362
CB,13.043153,1.853966,0.14597,0.0301,30.289,0.674,118692528128,1.23,0.13965964,0.02564902129026536,0.1915823059175369,0.02564902129026536
CHD,45.497894,6.0800676,0.14247,0.083380006,55.162,0.565,26538041344,1.11,0.019173622,0.0511153831193929,0.17909714536312435,0.0511153831193929
CI,26.858795,2.1702664,0.086260006,0.03925,77.521,0.533,88180588544,1.88,-0.1155318,-0.07061721117670938,0.257878615889796,-0.07061721117670938
CINF,10.077082,1.643359,0.17608,0.052529998,6.279,0.674,22924244992,2.38,0.17975354,0.08773874177177587,0.22693420760457053,0.08773874177177587
CTAS,47.822334,19.385616,0.41325,0.15269,66.308,1.407,83394985984,0.81,0.19185483,0.012238071616467394,0.2255713401256922,0.012238071616467394
CSCO,27.017544,5.380852,0.20019,0.065560006,71.21,0.776,245062647808,2.65,0.2382288,0.1897104732727497,0.18863216729072557,0.1897104732727497
CLX,39.615803,-436.6066,2.7610598,0.11265001,2555.372,0.443,17910593536,3.41,-0.06616157,-0.10296929369655738,0.21032002219036608,-0.10296929369655738
CME,27.133402,3.5622354,0.13249,0.01842,14.428,0.547,94557298688,4.11,0.22030747,0.24465528897587752,0.16553863489711018,0.24465528897587752
CMS,21.98799,2.7325995,0.11225,0.02981,189.643,0.349,21901201408,2.96,0.21494865,0.06101900849791031,0.16157572729328828,0.06101900849791031
KO,28.68699,12.213569,0.39549,0.09017,176.919,0.575,303702933504,2.91,0.14449167,0.004205399730648596,0.15181687250868173,0.004205399730648596
CTSH,17.227272,2.669289,0.16211,0.09838,10.432,1.118,38429188096,1.59,0.062218547,0.02928606616247653,0.20816661125409613,0.02928606616247653
CL,26.387465,354.8659,4.06262,0.16377,1564.706,0.392,75122606080,2.26,0.021987796,-0.09807592724808856,0.1855857874710307,-0.09807592724808856
CMCSA,9.0,1.6494753,0.18707001,0.054840002,122.184,1.006,140880789504,3.53,-0.13794696,-0.08452978078168483,0.26341166654899123,-0.08452978078168483
CAG,25.490292,1.4239614,0.055159997,0.05468,96.17,0.173,12532036608,5.4,-0.12550604,-0.16656246563969623,0.23786303537817596,-0.16656246563969623
COP,13.135723,2.0200448,0.16209,0.08403,39.12,1.129,130533466112,3.02,-0.1891892,-0.04374970087567953,0.24363467377013773,-0.04374970087567953
ED,20.567749,1.70086,0.08442,0.029979998,126.714,0.285,38052335616,3.16,0.18334985,0.06670212200421788,0.18261886393234422,0.06670212200421788
STZ,48.734043,4.23549,0.08326,0.09056,150.148,0.892,33121730560,2.19,-0.32252723,-0.26680884202081523,0.27850347780198836,-0.26680884202081523
CEG,17.668629,4.9942946,0.30115,0.05151,66.438,0.884,65820168192,0.71,0.17376256,-0.16839574732954754,0.6443585696831071,-0.16839574732954754
GLW,80.02586,3.7093425,0.051620003,0.03083,73.089,1.019,39767306240,2.38,0.4290049,0.03690054070047677,0.29993609539459837,0.03690054070047677
CTVA,51.221313,1.8009683,0.035,0.02911,13.229,0.79,42681606144,1.08,0.08722043,0.08609768778791937,0.24084858938095663,0.08609768778791937
COST,54.96727,16.316338,0.32894,0.087349996,31.431,0.805,417279442944,0.5,0.2690581,0.04574423705165187,0.20093677606262847,0.04574423705165187
CTRA,19.013334,1.5974905,0.08565,0.04121,28.957,0.242,21792018432,3.05,0.035509348,0.22011852029797185,0.2514594205335728,0.22011852029797185
CSX,16.56704,4.5068393,0.28336,0.07967,153.394,1.245,55892262912,1.74,-0.19341785,-0.12495815515741204,0.22798339620940525,-0.12495815515741204
CMI,11.378392,4.3182883,0.38356,0.07453,67.978,1.005,44379549696,2.22,0.113253,0.007383324501711863,0.25384643717702826,0.007383324501711863
CVS,18.530054,1.1309365,0.0602,0.01993,109.494,0.531,85507457024,3.96,-0.15747243,0.19571791811474437,0.40863302662024703,0.19571791811474437
DHR,39.802082,3.050322,0.075679995,0.03976,34.603,0.849,150355394560,0.61,-0.15741628,-0.23192579491703258,0.24304274300786255,-0.23192579491703258
DRI,23.480854,11.092727,0.48222,0.07198,355.524,1.272,24426319872,2.7,0.24110079,0.2388679981857016,0.29071852477210647,0.2388679981857016
DE,21.335546,5.819348,0.27745,0.0496,289.674,1.024,130813411328,1.34,0.17743587,0.18163788736830844,0.2558076480988644,0.18163788736830844
DAL,8.718575,1.9512912,0.26191,0.05046,156.091,1.343,30017853440,1.25,0.004177928,-0.022579118866432935,0.3680108536717728,-0.022579118866432935
DVN,8.101974,1.6591817,0.21857001,0.093100004,62.949,1.954,23960825856,2.56,-0.25328815,-0.08679127720569302,0.2845249158905604,-0.08679127720569302
FANG,10.341275,1.2383949,0.1292,0.06336,32.861,1.831,46484226048,3.81,-0.17701972,-0.12346395020614465,0.28511325245517294,-0.12346395020614465
DLR,90.06832,2.3687088,0.02664,0.0089,79.457,0.676,49706381312,3.27,0.037211895,-0.09213548858340703,0.2782846991778469,-0.09213548858340703
DFS,9.197969,2.4296782,0.28202,0.030299999,90.673,1.448,41031741440,1.69,0.26737356,0.20399583903359586,0.37853680703863823,0.20399583903359586
DG,16.970646,2.572683,0.15890001,0.03917,235.555,0.44,19073804288,2.79,-0.45726,0.03560251382177415,0.4569711354926278,0.03560251382177415
D,24.704544,1.7632364,0.06489,0.02706,141.186,0.584,46308917248,4.96,0.09493804,-0.02450232078673409,0.21602261859746857,-0.02450232078673409
DOV,17.792078,3.5458472,0.23216,0.06764,45.486,1.241,24630040576,1.13,0.028556943,-0.062333898500085416,0.22535410039240933,-0.062333898500085416
DOW,22.292994,1.4189572,0.06499,0.024330001,98.997,1.159,24701739008,7.87,-0.38581043,-0.3224083636081926,0.2355282255255564,-0.3224083636081926
DHI,9.193206,1.654229,0.19167,0.10932,20.28,1.806,41675685888,1.24,-0.21373445,-0.32112779633912036,0.33276029337034657,-0.32112779633912036
DTE,19.999262,2.3976448,0.123380005,0.028299998,198.573,0.601,28096901120,3.21,0.21027291,0.09931222112991978,0.17747408920416305,0.09931222112991978
DUK,20.587719,1.852612,0.09077,0.027309999,166.689,0.465,91183529984,3.57,0.21093988,0.030910770277988053,0.1669216681628559,0.030910770277988053
DD,42.75141,1.354588,0.03207,0.03112,31.846,1.28,31633766400,2.14,-0.0023477077,-0.12297847577575305,0.22566253066405398,-0.12297847577575305
EMN,11.468057,1.7521563,0.15955,0.057919998,89.2,1.451,10155860992,3.71,-0.10646576,-0.19037615077632042,0.2437141550897816,-0.19037615077632042
ETN,29.71451,6.005419,0.20201999,0.07605,53.883,1.084,110708039680,1.46,-0.08686197,-0.13442643515768737,0.34110245704377323,-0.13442643515768737
EBAY,16.86329,6.0825496,0.34291,0.06874,152.443,1.442,31040260096,1.77,0.24251616,0.026804969522353117,0.2776491560760248,0.026804969522353117
ECL,34.118046,10.719157,0.25287,0.07545,103.915,1.144,71319511040,1.03,0.093070626,-0.005891646288152419,0.1829671688432259,-0.005891646288152419
EIX,17.356497,1.5880696,0.07197,0.02892,212.858,0.88,22119628800,5.73,-0.18309063,-0.31820775446924165,0.2768719108814026,-0.31820775446924165
EA,37.091602,5.143795,0.14038,0.07121,30.747,0.783,37990285312,0.52,0.09436953,0.03183305470522191,0.26704604412196586,0.03183305470522191
ELV,16.606,2.3461492,0.14774,0.05091,82.914,0.865,96876953600,1.59,-0.16972655,-0.18527099007383274,0.2594320437958228,-0.18527099007383274
EMR,31.341291,3.0706463,0.07704,0.04448,31.298,1.351,62917144576,1.86,0.0014988184,0.05799935801036171,0.262700211374178,0.05799935801036171
ETR,34.330612,2.395409,0.069520004,0.028369999,190.276,0.668,36232232960,2.85,0.5917865,0.31375503198507926,0.2590805053093506,0.31375503198507926
EOG,11.269333,2.4068344,0.22294001,0.1112,19.734,1.26,70226739200,3.02,0.010481834,0.005477959250973052,0.23154545520002207,0.005477959250973052
EQT,115.0889,1.500768,0.0124,0.00661,38.82,1.119,30941470720,1.19,0.4275695,0.46361272780214957,0.34440324976925835,0.46361272780214957
EFX,50.203934,6.268192,0.12642999,0.05599,105.039,1.647,30073960448,0.65,-0.096404016,-0.19004821536877625,0.2926180080545901,-0.19004821536877625
EQIX,97.00118,5.9155145,0.062459998,0.02971,139.913,0.734,80062382080,2.26,0.0069305897,-0.06400966091309046,0.25500507501559555,-0.06400966091309046
EQR,26.187502,2.4511356,0.09247,0.026659999,72.742,0.933,27877214208,3.87,0.13405168,-0.044814317402384396,0.19377693675347665,-0.044814317402384396
ERIE,36.3725,10.996448,0.32893002,0.16552,0.378,0.384,21852995584,1.3,0.044575095,-0.2285444898268214,0.286142118444105,-0.2285444898268214
ESS,26.404678,3.537422,0.14262,0.02846,115.698,0.92,21021790208,3.36,0.25088847,0.03229338623170741,0.20737471152236608,0.03229338623170741
EG,11.505979,1.133218,0.10141,0.01856,26.76,0.609,15699282944,2.18,-0.07884276,-0.04027129796952644,0.2393289261784511,-0.04027129796952644
EVRG,17.815302,1.5598576,0.090050004,0.02868,142.309,0.602,15530206208,3.97,0.26133382,0.1169630705973923,0.15009341453478847,0.1169630705973923
ES,26.563877,1.4699072,0.05549,0.03061,192.423,0.617,22135044096,5.02,0.0028442144,-0.07119145664209903,0.2200180929739364,-0.07119145664209903
EXC,18.120407,1.6573337,0.0934,0.02545,174.232,0.58,44818526208,3.63,0.1716795,0.13177293360866482,0.1825723472243072,0.13177293360866482
EXPE,18.8478,13.953827,0.43832,0.04724,235.584,1.832,21736603648,0.92,0.25901997,0.14279234326347234,0.3917925731944509,0.14279234326347234
EXPD,20.919582,7.428607,0.35157,0.14029,25.561,0.995,16484001792,1.23,-0.019741714,-0.06024628570195978,0.19962457604426448,-0.06024628570195978
EXR,35.98015,2.2039154,0.05947,0.032899998,88.633,0.918,32096040960,4.45,-0.009659886,-0.1866422923206259,0.24282737756250933,-0.1866422923206259
XOM,15.0153055,1.9432155,0.14515,0.062459998,17.852,0.802,510803574784,3.35,0.017463923,0.023058030501721394,0.20244538025139414,0.023058030501721394
FDS,31.800072,8.275023,0.28119,0.10808,80.856,0.762,17027741696,0.94,-0.028939903,-0.030280349864787115,0.19992795711603203,-0.030280349864787115
FAST,38.675,12.262206,0.33039,0.20604,13.423,1.04,44356435968,2.23,-0.0006482005,0.08897718784821285,0.23400112761685293,0.08897718784821285
FRT,28.179825,2.7412748,0.091529995,0.031059999,133.197,1.293,8316102144,4.51,-0.04514295,-0.14524137606238674,0.19382942109669257,-0.14524137606238674
FIS,52.67958,2.530359,0.04546,0.026889998,73.51,1.116,39623610368,2.15,0.005392313,-0.10096529743126814,0.23263657426870618,-0.10096529743126814
FE,23.167645,1.8233795,0.09149,0.02894,176.866,0.466,22713210880,4.63,-0.0036250353,-0.07863357560323847,0.19236540626955423,-0.07863357560323847
F,6.8288355,0.88137376,0.13448,0.01164,358.603,1.607,39515996160,7.28,-0.2243976,-0.039943724935418645,0.35881116795543944,-0.039943724935418645
